	values	probs.0	probs.dir	probs.unif
ALIGNMENT.Compare.PROG.PAST.PAST_A.PROG_O.ALIGNMENT.Compare.PROG.PAST.PROG_A.PST_O.ALIGNMENT.Compare.PROG.PAST.PROG_So.PST_So	Present-Past: A marking in Present Progressive and Past	0.781233333333333	0.312233333333333	0.311433333333333
ALIGNMENT.Compare.PROG.PAST.PAST_A.PROG_O.ALIGNMENT.Compare.PROG.PAST.PROG_A.PST_O.ALIGNMENT.Compare.PROG.PAST.PROG_So.PST_So	Present-Past: Active-ergative in Present Progressive and Past	0.100666666666667	0.2003	0.199933333333333
ALIGNMENT.Compare.PROG.PAST.PAST_A.PROG_O.ALIGNMENT.Compare.PROG.PAST.PROG_A.PST_O.ALIGNMENT.Compare.PROG.PAST.PROG_So.PST_So	Present-Past: All systems	0.0912666666666667	0.251266666666667	0.251133333333333
ALIGNMENT.Compare.PROG.PAST.PAST_A.PROG_O.ALIGNMENT.Compare.PROG.PAST.PROG_A.PST_O.ALIGNMENT.Compare.PROG.PAST.PROG_So.PST_So	Present-Past: No marking difference	0.0268333333333333	0.2362	0.2375
ALIGNMENT.Noun..Present.Progressive.N.PROG..O.So..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.O..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.Sa..ALIGNMENT.Noun..Present.Progressive.N.PROG.Sa.So.	Noun, Present progressive: No marking	0.314866666666667	0.315333333333333	0.311533333333333
ALIGNMENT.Noun..Present.Progressive.N.PROG..O.So..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.O..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.Sa..ALIGNMENT.Noun..Present.Progressive.N.PROG.Sa.So.	Noun, Present progressive: Nominative-accusative	0.6545	0.363333333333333	0.3606
ALIGNMENT.Noun..Present.Progressive.N.PROG..O.So..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.O..ALIGNMENT.Noun..Present.Progressive.N.PROG.A.Sa..ALIGNMENT.Noun..Present.Progressive.N.PROG.Sa.So.	Noun, Present progressive: Tripartite	0.0306333333333333	0.321333333333333	0.327866666666667
ALIGNMENT.Noun..Simple.Past.N.PST..O.So..ALIGNMENT.Noun..Simple.Past.N.PST.A.O..ALIGNMENT.Noun..Simple.Past.N.PST.A.Sa..ALIGNMENT.Noun..Simple.Past.N.PST.Sa.So.	Noun, Simple past: Ergative	0.125166666666667	0.1894	0.186766666666667
ALIGNMENT.Noun..Simple.Past.N.PST..O.So..ALIGNMENT.Noun..Simple.Past.N.PST.A.O..ALIGNMENT.Noun..Simple.Past.N.PST.A.Sa..ALIGNMENT.Noun..Simple.Past.N.PST.Sa.So.	Noun, Simple past: No marking	0.302766666666667	0.271766666666667	0.2735
ALIGNMENT.Noun..Simple.Past.N.PST..O.So..ALIGNMENT.Noun..Simple.Past.N.PST.A.O..ALIGNMENT.Noun..Simple.Past.N.PST.A.Sa..ALIGNMENT.Noun..Simple.Past.N.PST.Sa.So.	Noun, Simple past: Nominative-accusative	0.537566666666667	0.297133333333333	0.301733333333333
ALIGNMENT.Noun..Simple.Past.N.PST..O.So..ALIGNMENT.Noun..Simple.Past.N.PST.A.O..ALIGNMENT.Noun..Simple.Past.N.PST.A.Sa..ALIGNMENT.Noun..Simple.Past.N.PST.Sa.So.	Noun, Simple past: Tripartite	0.0345	0.2417	0.238
ALIGNMENT.Pronoun..Present.Progressive.P.PROG..O.So..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.A.O..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.A.Sa..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.Sa.So.	Pronoun, Present progressive: No marking	0.0922666666666667	0.463033333333333	0.4605
ALIGNMENT.Pronoun..Present.Progressive.P.PROG..O.So..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.A.O..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.A.Sa..ALIGNMENT.Pronoun..Present.Progressive.P.PROG.Sa.So.	Pronoun, Present progressive: Nominative-accusative	0.907733333333333	0.536966666666667	0.5395
