	values	probs
ALIGNMENT|Compare PROG-PAST|PAST_A=PROG_O;ALIGNMENT|Compare PROG-PAST|PROG_A=PST_O;ALIGNMENT|Compare PROG-PAST|PROG_So=PST_So	Present-Past: A marking in Present Progressive and Past	0.781233333333333
ALIGNMENT|Compare PROG-PAST|PAST_A=PROG_O;ALIGNMENT|Compare PROG-PAST|PROG_A=PST_O;ALIGNMENT|Compare PROG-PAST|PROG_So=PST_So	Present-Past: Active-ergative in Present Progressive and Past	0.100666666666667
ALIGNMENT|Compare PROG-PAST|PAST_A=PROG_O;ALIGNMENT|Compare PROG-PAST|PROG_A=PST_O;ALIGNMENT|Compare PROG-PAST|PROG_So=PST_So	Present-Past: All systems	0.0912666666666667
ALIGNMENT|Compare PROG-PAST|PAST_A=PROG_O;ALIGNMENT|Compare PROG-PAST|PROG_A=PST_O;ALIGNMENT|Compare PROG-PAST|PROG_So=PST_So	Present-Past: No marking difference	0.0268333333333333
ALIGNMENT|Noun: Present Progressive|N:PROG: O=So?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=O?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=Sa?;ALIGNMENT|Noun: Present Progressive|N:PROG:Sa=So?	Noun, Present progressive: No marking	0.314866666666667
ALIGNMENT|Noun: Present Progressive|N:PROG: O=So?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=O?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=Sa?;ALIGNMENT|Noun: Present Progressive|N:PROG:Sa=So?	Noun, Present progressive: Nominative-accusative	0.6545
ALIGNMENT|Noun: Present Progressive|N:PROG: O=So?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=O?;ALIGNMENT|Noun: Present Progressive|N:PROG:A=Sa?;ALIGNMENT|Noun: Present Progressive|N:PROG:Sa=So?	Noun, Present progressive: Tripartite	0.0306333333333333
ALIGNMENT|Noun: Simple Past|N:PST: O=So?;ALIGNMENT|Noun: Simple Past|N:PST:A=O?;ALIGNMENT|Noun: Simple Past|N:PST:A=Sa?;ALIGNMENT|Noun: Simple Past|N:PST:Sa=So?	Noun, Simple past: Ergative	0.125166666666667
ALIGNMENT|Noun: Simple Past|N:PST: O=So?;ALIGNMENT|Noun: Simple Past|N:PST:A=O?;ALIGNMENT|Noun: Simple Past|N:PST:A=Sa?;ALIGNMENT|Noun: Simple Past|N:PST:Sa=So?	Noun, Simple past: No marking	0.302766666666667
ALIGNMENT|Noun: Simple Past|N:PST: O=So?;ALIGNMENT|Noun: Simple Past|N:PST:A=O?;ALIGNMENT|Noun: Simple Past|N:PST:A=Sa?;ALIGNMENT|Noun: Simple Past|N:PST:Sa=So?	Noun, Simple past: Nominative-accusative	0.537566666666667
ALIGNMENT|Noun: Simple Past|N:PST: O=So?;ALIGNMENT|Noun: Simple Past|N:PST:A=O?;ALIGNMENT|Noun: Simple Past|N:PST:A=Sa?;ALIGNMENT|Noun: Simple Past|N:PST:Sa=So?	Noun, Simple past: Tripartite	0.0345
ALIGNMENT|Pronoun: Present Progressive|P:PROG: O=So?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=O?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=Sa?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:Sa=So?	Pronoun, Present progressive: No marking	0.0922666666666667
ALIGNMENT|Pronoun: Present Progressive|P:PROG: O=So?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=O?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:A=Sa?;ALIGNMENT|Pronoun: Present Progressive|P:PROG:Sa=So?	Pronoun, Present progressive: Nominative-accusative	0.907733333333333
ALIGNMENT|Pronoun: Simple Past|P:PST: O=So?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=O?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=Sa?;ALIGNMENT|Pronoun: Simple Past|P:PST:Sa=So?	Pronoun, Simple past: Ergative	0.0821666666666667
ALIGNMENT|Pronoun: Simple Past|P:PST: O=So?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=O?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=Sa?;ALIGNMENT|Pronoun: Simple Past|P:PST:Sa=So?	Pronoun, Simple past: No marking	0.0606
ALIGNMENT|Pronoun: Simple Past|P:PST: O=So?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=O?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=Sa?;ALIGNMENT|Pronoun: Simple Past|P:PST:Sa=So?	Pronoun, Simple past: Nominative-accusative	0.8307
ALIGNMENT|Pronoun: Simple Past|P:PST: O=So?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=O?;ALIGNMENT|Pronoun: Simple Past|P:PST:A=Sa?;ALIGNMENT|Pronoun: Simple Past|P:PST:Sa=So?	Pronoun, Simple past: Tripartite	0.0265333333333333
ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-A	Reflexive not with Agent	0.0408
ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-A	Reflexive with Agent	0.9592
ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-O	Reflexive not with Object	0.9578
ALIGNMENT|Reflexive Pronoun in trans. Clause|REFL-ref-O	Reflexive with Object	0.0422
ALIGNMENT|Verb: Present Progressive|V:PROG: O=So?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=O?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=Sa?;ALIGNMENT|Verb: Present Progressive|V:PROG:Sa=So?	Verb, Present progressive: A=O/So=O	0.0246
ALIGNMENT|Verb: Present Progressive|V:PROG: O=So?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=O?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=Sa?;ALIGNMENT|Verb: Present Progressive|V:PROG:Sa=So?	Verb, Present progressive: No marking	0.0605
ALIGNMENT|Verb: Present Progressive|V:PROG: O=So?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=O?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=Sa?;ALIGNMENT|Verb: Present Progressive|V:PROG:Sa=So?	Verb, Present progressive: Nominative-Accusative	0.8739
ALIGNMENT|Verb: Present Progressive|V:PROG: O=So?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=O?;ALIGNMENT|Verb: Present Progressive|V:PROG:A=Sa?;ALIGNMENT|Verb: Present Progressive|V:PROG:Sa=So?	Verb, Present progressive: Tripartite	0.041
ALIGNMENT|Verb: Simple Past|V:PST: O=So?;ALIGNMENT|Verb: Simple Past|V:PST:A=O?;ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?;ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Verb, Simple past: Double oblique	0.0305333333333333
ALIGNMENT|Verb: Simple Past|V:PST: O=So?;ALIGNMENT|Verb: Simple Past|V:PST:A=O?;ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?;ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Verb, Simple past: Ergative	0.105766666666667
ALIGNMENT|Verb: Simple Past|V:PST: O=So?;ALIGNMENT|Verb: Simple Past|V:PST:A=O?;ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?;ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Verb, Simple past: No marking	0.1053
ALIGNMENT|Verb: Simple Past|V:PST: O=So?;ALIGNMENT|Verb: Simple Past|V:PST:A=O?;ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?;ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Verb, Simple past: Nominative-accusative	0.6749
ALIGNMENT|Verb: Simple Past|V:PST: O=So?;ALIGNMENT|Verb: Simple Past|V:PST:A=O?;ALIGNMENT|Verb: Simple Past|V:PST:A=Sa?;ALIGNMENT|Verb: Simple Past|V:PST:Sa=So?	Verb, Simple past: Tripartite	0.0835
Nominal morphology|Case marking|CASE-ADJ	Case on adjective	0.559133333333333
Nominal morphology|Case marking|CASE-ADJ	No case on adjective	0.440866666666667
Nominal morphology|Case marking|CASE-ART	Case on article	0.267033333333333
Nominal morphology|Case marking|CASE-ART	No case on article	0.732966666666667
Nominal morphology|Case marking|CASE-FIRST;Nominal morphology|Case marking|CASE-LAST	Case on last member of NP	0.0756666666666667
Nominal morphology|Case marking|CASE-FIRST;Nominal morphology|Case marking|CASE-LAST	No rule of case on last/first member of NP	0.924333333333333
Nominal morphology|Case marking|CASE-N	Case on noun	0.744866666666667
Nominal morphology|Case marking|CASE-N	No case on noun	0.255133333333333
Nominal morphology|Definiteness marking|ADJ-DEF	Definite suffix on adjective	0.0763666666666667
Nominal morphology|Definiteness marking|ADJ-DEF	No definite suffix on adjective	0.923633333333333
Nominal morphology|Definiteness marking|DEF-FIRST;Nominal morphology|Definiteness marking|DEF-LAST	No obligatory definiteness	0.857133333333333
Nominal morphology|Definiteness marking|DEF-FIRST;Nominal morphology|Definiteness marking|DEF-LAST	Obligatory definiteness on first member of NP	0.0755333333333333
Nominal morphology|Definiteness marking|DEF-FIRST;Nominal morphology|Definiteness marking|DEF-LAST	Obligatory definiteness on last member of NP	0.0673333333333333
Nominal morphology|Definiteness marking|DEF.ART	Definite article	0.0591
Nominal morphology|Definiteness marking|DEF.ART	No definite article	0.9409
Nominal morphology|Definiteness marking|N-DEF	Definite suffix on noun	0.0879
Nominal morphology|Definiteness marking|N-DEF	No definite suffix on noun	0.9121
Nominal morphology|Gender / Noun class|<5 GENDER	Fewer than five genders	0.9872
Nominal morphology|Gender / Noun class|<5 GENDER	More than five genders	0.0128
Nominal morphology|Gender / Noun class|ANIM	No noun class for animates	0.913
Nominal morphology|Gender / Noun class|ANIM	Noun class for animates	0.087
Nominal morphology|Gender / Noun class|M/F	Masculine/feminine distinction	0.6837
Nominal morphology|Gender / Noun class|M/F	No masculine/feminine distinction	0.3163
Nominal morphology|Gender / Noun class|NEUTR	Neuter gender	0.854733333333333
Nominal morphology|Gender / Noun class|NEUTR	No neuter gender	0.145266666666667
Nominal morphology|Gender agreement|PRED-ADJ	Gender on predicative adjective	0.6727
Nominal morphology|Gender agreement|PRED-ADJ	No gender on predicative adjective	0.3273
Nominal morphology|Nominal cases|<7 Cases	More than 7 cases	0.416166666666667
Nominal morphology|Nominal cases|<7 Cases	Not more than 7 cases	0.583833333333333
Nominal morphology|Nominal cases|AGG.CASE.NR	Agglutination for number	0.229233333333333
Nominal morphology|Nominal cases|AGG.CASE.NR	No agglutination for number	0.770766666666667
Nominal morphology|Nominal cases|AGGL.CASE	Agglutination for case	0.2181
